Key,Producer,Product,Place,Region,Country,Grape,Vintage,Category,ABV,BTG,List Position,Bottle Price,Wholesale Price,BTG Price,BTG Bottle Price,Beer Price,Cider Price,Spirit Price
duffau-armagnac-napoleon,Marie Duffau,Bas-Armagnac Napoleon,,,France,,,Armagnac,40.0,,,$74,$30.33,$30,$103,$61,$46,$8
rhum-jm-vo,Rhum J.M.,VO Rhum Agricole,,,Martinique,,,Rum,40.0,,,$75,$30.53,$30,$103,$62,$46,$8
clement-vsop-rhum,Clément,VSOP Rhum Agricole,,,Martinique,,,Rum,40.0,,,$74,$30.39,$30,$103,$61,$46,$8
badia-vin-santo,Badia a Coltibuono,Vin Santo,Chianti Classico,Tuscany,Italy,"Trebbiano,Malvasia",2010,Dessert,,,,$78,$32.00,$32,$108,$64,$48,$16
stgeorge-dryrye-reposado,St. George,Dry Rye Reposado,Alameda,,,,,Gin,45.0,,,$78,$32.00,$32,$108,$64,$48,$8
plymouth-gin,Plymouth,,,,England,,,Gin,41.2,,,$78,$32.17,$32,$109,$65,$49,$6
mckenzie-wheated-bourbon,McKenzie,Wheated Bourbon,Finger Lakes,New York,,,,Bourbon,50.0,,,$79,$32.50,$32,$110,$65,$49,$8
michters-bourbon,Michter's,US-1 Kentucky Straight Bourbon,,Kentucky,,,,Bourbon,45.7,,,$80,$33.14,$33,$112,$67,$50,$8
michters-american,Michter's,US-1 American Whiskey,,Kentucky,,,,American Whiskey,41.7,,,$80,$33.14,$33,$112,$67,$50,$8
michters-rye,Michter's,US-1 Kentucky Straight Rye,,Kentucky,,,,Rye,42.4,,,$80,$33.15,$33,$112,$67,$50,$8
redwood-emerald-rye,Redwood Empire,Emerald Giant Rye,,California,,,,Rye,45.0,,,$81,$33.40,$33,$113,$67,$51,$9
cynar-apertif,Cynar,Artichoke Apertivo,,,Italy,,,Apertivo,35.0,,,$81,$33.75,$33,$114,$68,$51,$7
dry-fly-wheat-whiskey,Dry Fly,Cask Strength Wheat Whiskey,,Washington,,,,American Whiskey,60.0,,,$82,$33.89,$33,$115,$68,$51,$9
barsol-pisco-mosto,Barsol,Pisco Mosto Verde,,,Peru,,,Brandy,41.8,,,$82,$34.33,$34,$116,$69,$52,$9
glenfiddich-single-12yr,Glenfiddich,Single Malt 12yr,,Speyside,,,,Scotch Whisky,40.0,,,$82,$34.25,$34,$116,$69,$52,$9
ferrand-cognac-ambre,Pierre Ferrand,Ambre 10yr,,,France,,,Cognac,40.0,,,$83,$34.67,$34,$117,$70,$52,$9
dorado-rum-12yr,El Dorado,Demerara 12yr,,,Guyana,,,Rum,40.0,,,$85,$35.67,$35,$121,$72,$54,$9
fiorita-brunello-14,La Fiorita,Brunello di Montalcino,,Tuscany,Italy,Sangiovese,2014,Red,,,160,$86,$36.00,$36,$122,$72,$54,$9
